EXPERIMENT_DATE,CPU,CPU COUNT,GPU,GPU RAM,RAM,CUDA,DATASET SOURCE,FEATURE TYPE,MODEL ARCHITECTURE,NUMBER POSITIVE,NUMBER NEGATIVE,TARGET,ACCURACY,ROC,PRC,TRAIN ROC,TRAIN PRC,EPISODES,TRAINING TIME,ROC VALUES,PRC VALUES
06/09/2026 11:18:49,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,10,MUV-832,-1,0.569 ± 0.063,0.051 ± 0.040,-1,-1,-1,0:00:02.917520,"[0.5790154249463086, 0.5769997854699505, 0.7156981774375683, 0.4695544140147059, 0.559545054846611, 0.5150607167189633, 0.5326297847862833, 0.5190000542218807, 0.6469071132034995, 0.6435983997472788, 0.5751715651027975, 0.6354886923804113, 0.467867642031859, 0.5744289610851919, 0.5088605625402244, 0.5676429748481199, 0.5162370957817735, 0.636709863431585, 0.5807069118752991, 0.5682429517448837]","[0.11341172904619612, 0.045227597080658766, 0.041706078792676494, 0.04515266379593975, 0.029357762975076827, 0.12523379004830176, 0.12635808171030888, 0.06828071145903492, 0.0038728185812034613, 0.003810207647367191, 0.0022770660130801393, 0.05619818008952823, 0.010624006712103791, 0.003433917607928645, 0.08804474003868074, 0.03851756769697247, 0.06261545062021606, 0.0473286842884508, 0.023681200327027037, 0.08030980342476404]"
06/09/2026 11:18:52,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,10,MUV-846,-1,0.706 ± 0.060,0.030 ± 0.033,-1,-1,-1,0:00:02.929121,"[0.645485228893971, 0.6456509322872475, 0.7144824765723607, 0.658439473603802, 0.726538867434935, 0.7184323283794678, 0.6517090953534889, 0.7422289809358834, 0.7732578227279245, 0.6887831729966929, 0.7196521874023114, 0.616565873562435, 0.8366246806390275, 0.7389748483402631, 0.6421041745503091, 0.6958238044088854, 0.7619335823193304, 0.7231531122857902, 0.6221856865173847, 0.8002087157634461]","[0.014289005340057146, 0.09789750359045145, 0.012855098154215617, 0.0035044294835368923, 0.012209166904513123, 0.007546099304544231, 0.08567971980510261, 0.005945537078579399, 0.014539745529617131, 0.009296491353041244, 0.005487694920727848, 0.0026674326774323975, 0.05103964923600382, 0.041909389932927865, 0.03938793981290803, 0.011999820075388606, 0.017467780238318558, 0.011600648471478372, 0.10989438190325838, 0.04716544979946259]"
06/09/2026 11:18:55,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,10,MUV-852,-1,0.598 ± 0.120,0.030 ± 0.044,-1,-1,-1,0:00:02.938525,"[0.5471053634977123, 0.6481585585233273, 0.527686392788706, 0.5392778929255798, 0.6510805697860857, 0.4627715478471707, 0.698363135974346, 0.7888868249188534, 0.6741303625200422, 0.7351601912322553, 0.6055272574400689, 0.7824696433459779, 0.7306384674044817, 0.4955503793359666, 0.670987153415979, 0.35773801376559383, 0.580793428102147, 0.5378052774627508, 0.4700710766102225, 0.4520135113996324]","[0.003732018513849567, 0.004783186954790665, 0.00335126479981567, 0.003967533371554861, 0.016036195771523175, 0.0019685648603183473, 0.14663772309431083, 0.10745147798515511, 0.018855638965663443, 0.09047157366087445, 0.004930024795893443, 0.022139798985965888, 0.040283506559937454, 0.006250904381463538, 0.10394915139433321, 0.004233843865283284, 0.00366808352426321, 0.0067854257387944105, 0.002125283614644627, 0.0019815205609612562]"
06/09/2026 11:18:58,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,10,MUV-858,-1,0.564 ± 0.059,0.007 ± 0.011,-1,-1,-1,0:00:02.917241,"[0.5677710989383876, 0.5234596926656648, 0.5699488584032188, 0.5658235978476901, 0.5242874109263659, 0.6074106839885598, 0.590556982888167, 0.5717472974938194, 0.496776382762131, 0.5862487275195114, 0.6338613117456009, 0.39365698773571184, 0.6273607542779582, 0.6290258858887973, 0.5980040234621165, 0.6426196131659314, 0.506734451500315, 0.5292925008483204, 0.5506762324882447, 0.5663968200106646]","[0.002706517161310216, 0.001994429553549195, 0.0031818686622056614, 0.007557439942065585, 0.0021094160452310258, 0.03805335358959899, 0.004672920688535817, 0.0024400764571087348, 0.002495342757245423, 0.0023694801608546544, 0.0034790912059669645, 0.0015086947562894199, 0.002733621891309601, 0.0026363212812900204, 0.03865193715085561, 0.0027242118124107904, 0.002095471103531245, 0.002347085308232414, 0.0021656809554833098, 0.006256905063150889]"
06/09/2026 11:19:01,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,10,MUV-859,-1,0.507 ± 0.063,0.002 ± 0.001,-1,-1,-1,0:00:02.913921,"[0.40616799063763387, 0.6673803697661773, 0.5244801640778306, 0.4699875286663357, 0.5664660023169492, 0.4880222001560395, 0.4978928765633496, 0.44058532520036875, 0.4673514079012696, 0.46068131309549143, 0.4893506040617538, 0.4624264132207958, 0.522245963070667, 0.567656985128969, 0.44657126983001155, 0.5351029623850392, 0.6122848547178287, 0.5408716930278742, 0.44933742345792843, 0.5314221457786604]","[0.001284469531421761, 0.004846021210844894, 0.0021774960419992206, 0.0016108150612759121, 0.0046904018109377825, 0.0015967454723625118, 0.0017414532405996374, 0.001473128950250994, 0.001434924475088307, 0.0014386085744064502, 0.0018628221298822955, 0.0014792974183926036, 0.0022986022709457123, 0.0018562667794875917, 0.0015285917002951076, 0.0016970656801175927, 0.0021031814137097062, 0.0016909656887697994, 0.0014885103235647338, 0.0018473574369655618]"
06/09/2026 11:19:04,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,5,MUV-832,-1,0.597 ± 0.071,0.049 ± 0.046,-1,-1,-1,0:00:02.903435,"[0.642386314360589, 0.6253841367998341, 0.6441066816236497, 0.6270396957070945, 0.6144268113346278, 0.5921940102939236, 0.7363301502611188, 0.5880604155276107, 0.6531480364246526, 0.5425131030712091, 0.5685507437642578, 0.4578922437359778, 0.597989055636206, 0.6213094587206124, 0.49397871457928766, 0.6716408061688128, 0.4454808544333629, 0.5795846609226823, 0.6503872004675628, 0.5937152391546162]","[0.010491414745166633, 0.10615209811716722, 0.055216379063436474, 0.10272030867745548, 0.12984381594424682, 0.12421138232297693, 0.03894738464979142, 0.010523980482327083, 0.059973975642749706, 0.024084837899583773, 0.07296845712455757, 0.0024973752329778276, 0.04918272613120133, 0.00430939395953612, 0.010075287267244696, 0.12055435741498854, 0.0017871443434346525, 0.05240579865216814, 0.0038790735178495864, 0.0044116644748218685]"
06/09/2026 11:19:06,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,5,MUV-846,-1,0.660 ± 0.115,0.024 ± 0.019,-1,-1,-1,0:00:02.925187,"[0.739947227939587, 0.8075241304123082, 0.7024969220214096, 0.7047208202930424, 0.7346218550577532, 0.6692183344141502, 0.5265822219715981, 0.5652108532814542, 0.4965084914615464, 0.6988961569910057, 0.7189535342712945, 0.48301355250420575, 0.728811289367581, 0.38641436640633076, 0.7429852632963976, 0.7329442392458718, 0.8099594928619092, 0.6018716929352168, 0.6237535361509761, 0.7311632409469835]","[0.04464833683795428, 0.05413093352519507, 0.00541011120746792, 0.017575083599103685, 0.02221055543444897, 0.008563907943252456, 0.002206311227839112, 0.03711019920340357, 0.002166588850303042, 0.03783511271626345, 0.03069748409982174, 0.005752486398421203, 0.04900109907096897, 0.020221643012050525, 0.006044215973796091, 0.02207188887430181, 0.038453252015295813, 0.06343785986173817, 0.0031409286123295654, 0.0181737292409402]"
06/09/2026 11:19:09,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,5,MUV-852,-1,0.676 ± 0.118,0.044 ± 0.050,-1,-1,-1,0:00:02.913546,"[0.8092130982515467, 0.7696322286183407, 0.7644951084353835, 0.6640311183651131, 0.8531944213684652, 0.5441071550738377, 0.7160620217163968, 0.4913090432861931, 0.540224689451617, 0.6289240023846989, 0.7906583821186681, 0.44370058346934593, 0.755120016810172, 0.7812979505272725, 0.743924637652831, 0.6690668399808442, 0.7751248546213313, 0.6110448694768322, 0.6309812937968511, 0.5337144127679121]","[0.08744145575527221, 0.14332459271814257, 0.13869759939466042, 0.00427606685668064, 0.05428358496512504, 0.002424210238345061, 0.03233856934896642, 0.002311885736455544, 0.0035431112588559313, 0.003161501471471101, 0.10825811207937523, 0.006755193867769138, 0.0495398487225157, 0.10632533555679786, 0.09339323914371098, 0.005288505967802189, 0.016746954005043037, 0.003654620318917646, 0.004246912059020972, 0.006142796345229424]"
06/09/2026 11:19:12,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,5,MUV-858,-1,0.519 ± 0.095,0.010 ± 0.013,-1,-1,-1,0:00:02.908741,"[0.5457331847257221, 0.5398551075789881, 0.3099110777282419, 0.5424779511533242, 0.5645292207792207, 0.4037616301608839, 0.6034769335142469, 0.36208446404341926, 0.37421738709052144, 0.6248824869160691, 0.588373473541384, 0.4372686082574142, 0.5007826129094785, 0.45707259158751695, 0.5825087226206629, 0.5502410835433224, 0.601527670091103, 0.602688263229308, 0.591835869354526, 0.599984250823803]","[0.002156758313977043, 0.03781489896337245, 0.0013710489368574273, 0.0024266918888074963, 0.020204418766624946, 0.001543229683115176, 0.003655374339990304, 0.0015167753299476405, 0.001506792036048644, 0.003081536156041611, 0.002369619482717445, 0.03772841582629209, 0.0019016505660783096, 0.002041534870398257, 0.0062912606932623, 0.006468366046859981, 0.038383738749374084, 0.01034197049676175, 0.0026373315460470354, 0.02030666620973052]"
06/09/2026 11:19:15,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,5,MUV-859,-1,0.547 ± 0.076,0.002 ± 0.001,-1,-1,-1,0:00:02.900920,"[0.5306019953263159, 0.43033935909669685, 0.591503171428487, 0.5338088752729023, 0.5140328694115944, 0.4855490987943549, 0.6010765426554916, 0.5555937971762912, 0.5118836246753975, 0.6000129988685076, 0.644615366435149, 0.4228915982995116, 0.4509248399514315, 0.6448133037510599, 0.6018535204776493, 0.4503384137244417, 0.6131108360340451, 0.6195201644947724, 0.6543792892573215, 0.4772697058415143]","[0.001890034825061121, 0.0014593145788486823, 0.0021315159009488364, 0.002061319730105318, 0.001737712089557359, 0.0033242528654077773, 0.0021073284329886166, 0.0019096686577127569, 0.0017384632397171344, 0.0020969879907892213, 0.0022098243588982323, 0.0013661586618120062, 0.0022273841863463236, 0.003726640125924518, 0.003725073667596649, 0.00141521530071472, 0.003694069188819634, 0.0024017655100122114, 0.0028091890747489693, 0.0019804269699871344]"
06/09/2026 11:19:18,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,1,MUV-832,-1,0.593 ± 0.093,0.032 ± 0.036,-1,-1,-1,0:00:02.762107,"[0.5277280395058005, 0.5489346062142473, 0.5099200365654833, 0.46248032720453114, 0.8075600079162386, 0.5808622574473901, 0.5364641743080358, 0.6361286765745305, 0.6808695611199592, 0.5637139410617185, 0.4585245639000669, 0.5827635683388149, 0.621906541263394, 0.7144181564588026, 0.5796889577894846, 0.6804278067306876, 0.7155808540113655, 0.47268897663767184, 0.6304270999236649, 0.5586155064036716]","[0.0025487294417004787, 0.0538617976943673, 0.11651442253196913, 0.01991494593330601, 0.01106853447422031, 0.06069907765953056, 0.0022971625214325913, 0.026559523704441826, 0.0810533278740293, 0.012022165555508274, 0.0021249521317311133, 0.002522827703757831, 0.055719153311916195, 0.10675863569164212, 0.0035123062602897322, 0.04804380194411441, 0.028577126157190276, 0.002051843057921414, 0.0038077336497902865, 0.008565241760379944]"
06/09/2026 11:19:21,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,1,MUV-846,-1,0.652 ± 0.113,0.024 ± 0.028,-1,-1,-1,0:00:02.714157,"[0.7644954430141877, 0.7410610260264964, 0.6126702997275205, 0.5929319740674621, 0.6823405054965705, 0.44083082777412386, 0.6627701306022739, 0.609148031570046, 0.8380003288546464, 0.5830463685051207, 0.644576247298694, 0.8360354223433243, 0.7790684017664192, 0.6107382786808231, 0.41725429860001884, 0.6157262989758526, 0.5613877666071597, 0.6637108897867142, 0.7658507939490745, 0.6228530489523632]","[0.01848334784235665, 0.04877040063394385, 0.0034850124001098892, 0.04319724359908071, 0.03926351921798818, 0.00223831560257467, 0.0055108152013401725, 0.037194750191707704, 0.013094162392147227, 0.010565216510286364, 0.005090953932776997, 0.062309673036879315, 0.027330971850305526, 0.008700425614530435, 0.0017335734067416152, 0.010976555811978367, 0.004145615703648575, 0.003996489615083959, 0.012269347589584638, 0.1125587839248087]"
06/09/2026 11:19:24,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,1,MUV-852,-1,0.655 ± 0.111,0.051 ± 0.061,-1,-1,-1,0:00:02.699957,"[0.5983199312143981, 0.567221071452998, 0.6833859321719249, 0.604146921746607, 0.5237244374529786, 0.8052165671685539, 0.6115921815001906, 0.7550477786354265, 0.7626481479672096, 0.6512220680625714, 0.7595398497269095, 0.7287719718213528, 0.40238111522565384, 0.8081734198364388, 0.52497752743119, 0.7599380050221306, 0.7664367299481176, 0.5544813233411824, 0.6031698535374754, 0.6240888838949847]","[0.059450996889539226, 0.0025057203859280446, 0.0675107095140777, 0.007828132935342517, 0.0033063517388737737, 0.044205736041062565, 0.007411974392688348, 0.16556216981513505, 0.006554445673724591, 0.005541662079380732, 0.029740849422670503, 0.11095039883832529, 0.0017205886286911268, 0.1687224002944701, 0.004160833310548659, 0.1911948128705817, 0.02624764210739237, 0.05103718633107302, 0.0028893788580881406, 0.06321381180174243]"
06/09/2026 11:19:26,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,1,MUV-858,-1,0.529 ± 0.089,0.007 ± 0.010,-1,-1,-1,0:00:02.712987,"[0.502526451437873, 0.443233567165336, 0.48732171924657003, 0.634055741802961, 0.5161821273544687, 0.5353945430586776, 0.4114966863033873, 0.48208472211456477, 0.6450844411285948, 0.4157502325401131, 0.47777546314239205, 0.5249290268196264, 0.6644748953569491, 0.6363968878381521, 0.32974793620649556, 0.5281991221610728, 0.5914463995039145, 0.5647563657855981, 0.566472560266646, 0.6172280734051624]","[0.001948510665895852, 0.0018285508186353973, 0.0019599091444327792, 0.014840490818954114, 0.020108588167407907, 0.0020611357393188917, 0.00207166714518953, 0.0022542520545614383, 0.021465848310942427, 0.001609348136147519, 0.001922628771633402, 0.002508287362945537, 0.0035543079451031165, 0.010095742085768284, 0.0013597450961502899, 0.0023201052168923767, 0.038450836911689414, 0.004302886427040693, 0.002753743522019147, 0.00261580846010891]"
06/09/2026 11:19:29,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,1,1,MUV-859,-1,0.505 ± 0.059,0.002 ± 0.000,-1,-1,-1,0:00:02.809797,"[0.4525596382570891, 0.45217863862036783, 0.5259493240948305, 0.5508383468750647, 0.5284612635601906, 0.5820803170862092, 0.40930141206144427, 0.5206035152385088, 0.5623643242572722, 0.5129214993074076, 0.48723208194150325, 0.45714935481108027, 0.4875805932371088, 0.5637760903530301, 0.5236795704450607, 0.4221269230882826, 0.4803844256799663, 0.5288924724513635, 0.4242401420035855, 0.6358101263205772]","[0.0014671753570731367, 0.0014628003777746072, 0.001721482293896261, 0.0022113521310139187, 0.0016831995339455469, 0.0026325440003644443, 0.001568917106165556, 0.002038830984120584, 0.002036226451789076, 0.001622978485256148, 0.001509607919341577, 0.0014223568483419126, 0.0018059325725718232, 0.0019522610819754465, 0.0017273024532208129, 0.0014777764127557299, 0.002138224948877618, 0.0016439625882611717, 0.0013201249629121157, 0.0023782798374353364]"
